시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,DSMC,2018,006,001,8.072,우림 3,ICK0006,우림해운(주),WAE,01,정박지-E1,2018-12-27 13:35,2018-12-28 06:10,WAE,01,정박지-E1,2018-12-27 13:35,2018-12-28 06:10,접안대기,2019-01-01,허가완료
2,DSMC,2018,006,002,8.072,우림 3,ICK0006,우림해운(주),MB4,02,4부두 02,2018-12-28 07:05,2018-12-29 02:40,MB4,02,4부두 02,2018-12-28 07:05,2018-12-29 02:40,양하,2019-01-01,허가완료
3,DSMC,2018,006,003,8.072,우림 3,ICK0006,우림해운(주),MDY,02,UTT부두,2018-12-29 03:15,2018-12-29 13:15,MDY,02,UTT부두,2018-12-29 03:15,2018-12-29 13:15,양하,2019-01-01,허가완료
4,DSMC,2018,006,004,8.072,우림 3,ICK0006,우림해운(주),WAE,01,정박지-E1,2018-12-30 04:30,2018-12-30 14:45,WAE,01,정박지-E1,2018-12-30 04:30,2018-12-30 14:45,접안대기,2019-01-01,허가완료
5,DSMC,2018,006,005,8.072,우림 3,ICK0006,우림해운(주),MDS,02,S-OIL2부두,2018-12-30 15:25,2018-12-31 21:25,MDS,02,S-OIL2부두,2018-12-30 15:25,2018-12-31 21:25,적하,2019-01-01,허가완료
6,180017,2019,001,001,919,동명에이스,BSB2479,동명해운,MLJ,01,장생포호안,2019-01-01 19:15,2019-01-02 09:45,MLJ,01,장생포호안,2019-01-01 19:15,2019-01-02 09:45,기타,2019-01-01,허가완료
7,130008,2019,001,001,532,건양호,BSK2613,천배유조(주),MLJ,01,장생포호안,2019-01-02 03:00,2019-01-02 14:15,MLJ,01,장생포호안,2019-01-02 03:00,2019-01-02 14:15,접안대기,2019-01-01,허가완료
8,DSQC6,2018,030,001,4.969,새한 캠스타,KMB1021,새한해운주식회사,MDG,02,정일2부두,2018-12-30 14:18,2018-12-31 17:00,MDG,02,정일2부두,2018-12-30 14:18,2018-12-31 17:00,적하,2019-01-01,허가완료
9,110092,2018,048,003,266,11세양호,BSZ7236,(주)월명,WAE,01,정박지-E1,2018-12-31 18:15,2018-12-31 20:55,WAE,01,정박지-E1,2018-12-31 18:15,2018-12-31 20:55,양하,2019-01-01,허가완료
10,V2DW2,2018,007,001,7.170,ELBMASTER,KMS8832,고려해운(주),MBC,01,신항컨테이너부두01,2018-12-31 12:00,2018-12-31 18:00,MBC,02,신항컨테이너부두02,2018-12-31 12:00,2018-12-31 18:00,양적하,2019-01-01,허가완료
11,110092,2019,001,001,266,11세양호,BSZ7236,(주)월명,MLJ,01,장생포호안,2019-01-03 14:30,2019-01-04 09:15,MLJ,01,장생포호안,2019-01-03 14:30,2019-01-04 09:15,기타,2019-01-01,허가완료
12,071381,2019,001,001,549,제2보원호,BSZ9626,동대해운주식회사,MLJ,01,장생포호안,2019-01-01 16:30,2019-01-01 21:05,MLJ,01,장생포호안,2019-01-01 16:30,2019-01-01 21:05,기타,2019-01-01,허가완료
13,071381,2019,001,002,549,제2보원호,BSZ9626,동대해운주식회사,MBU,02,SK2부두 02,2019-01-01 21:15,2019-01-02 01:10,MBU,02,SK2부두 02,2019-01-01 21:15,2019-01-02 01:10,적하,2019-01-01,허가완료
14,D9WV,2018,141,002,1.596,,USK0074,영우해운(주),MBU,01,SK2부두 01,2019-01-02 04:40,2019-01-02 16:40,MBU,01,SK2부두 01,2019-01-02 04:40,2019-01-02 16:40,적하,2019-01-01,허가완료
15,028241,2019,001,002,1.823,,USK0074,영우해운(주),WAM,01,정박지 01,2019-01-01 15:00,2019-01-02 00:00,WAM,02,정박지 02,2019-01-01 15:00,2019-01-02 00:00,접안대기,2019-01-01,허가완료
16,088238,2019,001,002,700,3동주,USK0074,영우해운(주),MBU,01,SK2부두 01,2019-01-02 14:20,2019-01-02 23:00,MBU,01,SK2부두 01,2019-01-02 14:20,2019-01-02 23:00,적하,2019-01-01,허가완료
17,130093,2019,001,001,699,삼원,BSK3254,삼원쉬핑 주식회사,WAM,06,정박지 06,2019-01-02 07:30,2019-01-02 16:35,WAM,06,정박지 06,2019-01-02 07:30,2019-01-02 16:35,기타,2019-01-01,허가완료
18,176801,2019,001,001,759,아크,BSB2461,노아해운,MLJ,01,장생포호안,2019-01-02 10:10,2019-01-03 18:40,MLJ,01,장생포호안,2019-01-02 10:10,2019-01-03 18:40,기타,2019-01-01,허가완료
19,071242,2018,134,002,1.493,,USK0074,영우해운(주),MBU,01,SK2부두 01,2019-01-01 20:30,2019-01-02 08:30,MBU,01,SK2부두 01,2019-01-01 20:30,2019-01-02 08:30,적하,2019-01-01,허가완료
20,120025,2019,001,001,388,동방1호,BSK1014,모든기업,WAM,04,정박지 04,2019-01-01 06:20,2019-01-01 11:25,WAM,04,정박지 04,2019-01-01 06:20,2019-01-01 11:25,기타,2019-01-01,허가완료
21,120025,2019,001,002,388,동방1호,BSK1014,모든기업,MBN,14,정일스톨트헤븐울산신항4부두,2019-01-01 13:40,2019-01-01 17:00,MBN,14,정일스톨트헤븐울산신항4부두,2019-01-01 13:40,2019-01-01 17:00,적하,2019-01-01,허가완료
22,184803,2019,001,002,1.995,진양1호,USK0074,영우해운(주),MBU,01,SK2부두 01,2019-01-01 17:10,2019-01-02 05:10,MBU,01,SK2부두 01,2019-01-01 17:10,2019-01-02 05:10,적하,2019-01-02,허가완료
