시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,ELYK8,2018,001,001,156.916,ADS SERENADE,USC0035,(주)쌍용에이젼시,MUD,02,S-OIL 2부이,2018-06-29 12:24,2018-07-01 06:00,MUD,02,S-OIL 2부이,2018-06-29 12:24,2018-07-01 06:00,양하,2018-07-01,허가완료
2,DSNB3,2018,019,001,4.061,모닝선,BSK0011,쌍용씨앤이(주),MB2,03,2부두 03,2018-07-01 15:00,2018-07-02 10:00,MB2,03,2부두 03,2018-07-01 15:00,2018-07-02 10:00,양하,2018-07-01,허가완료
3,130037,2018,041,001,534,송원호,BSZ7598,송원해운 주식회사,MLJ,01,장생포호안,2018-06-30 09:50,2018-06-30 11:50,MLJ,01,장생포호안,2018-06-30 09:50,2018-06-30 11:50,기타,2018-07-01,허가완료
4,130037,2018,041,002,534,송원호,BSZ7598,송원해운 주식회사,MBU,02,SK2부두 02,2018-06-30 12:00,2018-06-30 15:55,MBU,02,SK2부두 02,2018-06-30 12:00,2018-06-30 15:55,적하,2018-07-01,허가완료
5,130037,2018,041,003,534,송원호,BSZ7598,송원해운 주식회사,MLJ,01,장생포호안,2018-06-30 16:05,2018-06-30 23:40,MLJ,01,장생포호안,2018-06-30 16:05,2018-06-30 23:40,기타,2018-07-01,허가완료
6,DSQI3,2018,016,001,6.398,우림 드라곤 7호,ICK0006,우림해운(주),MDY,02,UTT부두,2018-06-26 22:55,2018-06-27 14:55,MDY,02,UTT부두,2018-06-26 22:55,2018-06-27 14:55,양하,2018-07-01,허가완료
7,DSQI3,2018,016,002,6.398,우림 드라곤 7호,ICK0006,우림해운(주),MB4,02,4부두 02,2018-06-27 15:45,2018-06-28 03:45,MB4,02,4부두 02,2018-06-27 15:45,2018-06-28 03:45,양하,2018-07-01,허가완료
8,DSQI3,2018,016,003,6.398,우림 드라곤 7호,ICK0006,우림해운(주),WAE,01,정박지-E1,2018-06-28 14:50,2018-06-29 16:30,WAE,01,정박지-E1,2018-06-28 14:50,2018-06-29 16:30,접안대기,2018-07-01,허가완료
9,DSQI3,2018,016,004,6.398,우림 드라곤 7호,ICK0006,우림해운(주),MDS,02,S-OIL2부두,2018-06-29 17:20,2018-06-30 15:50,MDS,02,S-OIL2부두,2018-06-29 17:20,2018-06-30 15:50,적하,2018-07-01,허가완료
10,9LU2868,2018,042,001,995,HUI XIN,OST0212,우민해운(주),WAM,05,정박지 05,2018-06-30 01:30,2018-06-30 12:35,WAM,05,정박지 05,2018-06-30 01:30,2018-06-30 12:35,접안대기,2018-07-01,허가완료
